Post ID,Label Weight
p11,0.0
p4664,0.0
p4994,0.0
p1526,0.0
p5324,0.0
p4400,0.0
p4271,0.0
p5519,0.0
p2387,0.0
p2813,0.0
p1328,0.0
p929,0.0
p6482,0.0
p5951,0.0
p1331,0.0
p4235,0.0
p5030,0.0
p1889,0.0
p734,0.0
p1427,0.0
p2615,0.0
p5063,0.0
p5591,0.0
p305,0.0
p4103,0.0
p6248,0.0
p4334,0.0
p5753,0.0
p110,0.0
p4499,0.0
p701,0.0
p3407,0.0
p3278,0.0
p44,0.0
p1823,0.0
p4532,0.0
p800,0.0
p1265,0.0
p6941,0.0
p6086,0.0
p4040,0.0
p932,0.0
p2420,0.0
p2909,0.0
p6905,0.0
p2288,0.0
p569,0.0
p1133,0.0
p107,0.0
p602,0.0
p503,0.0
p6251,0.0
p1071,0.0
p111,0.0
p1200,0.0
p2322,0.0
p2982,0.0
p5325,0.0
p6249,0.0
p5820,0.0
p306,0.0
p2421,0.0
p2292,0.0
p1431,0.0
p735,0.0
p108,0.0
p2454,0.0
p1167,0.0
p1860,0.0
p1329,0.0
p6645,0.0
p45,0.0
p342,0.0
p339,0.0
p1530,0.0
p2946,0.0
p3969,0.0
p5031,0.0
p1170,0.0
p1428,0.0
p3282,0.0
p3051,0.0
p1497,0.0
p1299,0.0
p6906,0.0
p537,0.0
p1662,0.0
p933,0.0
p2193,0.0
p3213,0.0
p2418,0.0
p1332,0.0
p3837,0.0
p540,0.0
p702,0.0
p1101,0.0
p6678,0.0
p4665,0.0
p4335,0.0
p6018,0.0
p6942,0.0
p2517,0.0
p12,0.0
p4797,0.0
p144,0.0
p6054,0.0
p1626,0.0
p5130,0.0
p3084,0.0
p5556,0.0
p4863,0.0
p6252,0.0
p1527,0.0
p307,0.0
p769,0.0
p1528,0.0
p2095,0.0
p3184,0.0
p6712,0.0
p13,0.0
p1465,0.0
p970,0.0
p178,0.0
p6679,0.0
p538,0.0
p2617,0.0
p5557,0.0
p3283,0.0
p1333,0.0
p4729,0.0
p3676,0.0
p6943,0.0
p2815,0.0
p1531,0.0
p4138,0.0
p109,0.0
p6019,0.0
p772,0.0
p1171,0.0
p574,0.0
p541,0.0
p310,0.0
p5593,0.0
p1366,0.0
p4570,0.0
p2455,0.0
p343,0.0
p934,0.0
p1201,0.0
p1630,0.0
p1564,0.0
p3511,0.0
p3904,0.0
p2293,0.0
p5917,0.0
p145,0.0
p406,0.0
p4864,0.0
p1168,0.0
p3577,0.0
p6187,0.0
p3940,0.0
p4075,0.0
p4336,0.0
p3874,0.0
p6055,0.0
p211,0.0
p703,0.0
p5821,0.0
p6286,0.0
p1300,0.0
p5029,0.0
p4435,0.0
p6484,0.0
p3379,0.0
p1367,0.0
p1628,0.0
p2225,0.0
p6188,0.0
p2063,0.0
p2654,0.0
p344,0.0
p278,0.0
p737,0.0
